County,"Voted (0=R, 1=D)",Neighbors
1,0,87
2,1,9; 110; 53; 91; 72; 43; 17; 83; 24
3,1,38; 8
4,0,29; 10; 109; 13; 30
5,0,32; 99; 90; 35; 26; 98
6,0,109; 83; 7; 19; 74; 11
7,0,6; 19; 23; 99; 83; 17
8,1,38; 3; 40
9,0,119; 61; 10; 109; 127; 83; 2; 110
10,0,61; 9; 109; 4
11,0,74; 6; 19; 109; 13; 107; 44; 95
12,0,49; 132; 102; 115; 123
13,0,107; 30; 4; 109; 11
14,0,126
15,1,80; 73; 90; 54; 35
16,0,34; 111; 123
17,0,43; 2; 32; 99; 7; 83
18,0,109
19,0,95; 23; 55; 11; 74; 6; 7
20,0,117; 118; 66; 37; 65; 67; 57
21,0,48; 52; 132; 102; 42; 93
22,1,26; 59; 84; 64
23,0,73; 80; 55; 19; 7; 99
24,1,2
25,1,120; 86; 97; 124
26,1,59; 106; 22; 62; 28; 94; 100; 98; 5; 35
27,0,71; 41; 125; 46
28,0,100; 94; 26
29,0,4
30,0,49; 82; 4; 107; 13
31,0,104; 41; 118; 117; 91; 75
32,0,17; 43; 51; 98; 5; 99
33,1,95
34,0,131; 111; 16
35,0,26; 5; 90; 15; 122; 54; 100
36,1,54
37,0,20; 81; 65; 66; 105; 81
38,1,71; 101; 8; 39; 3; 76; 40; 77
39,1,38
40,1,38; 8
41,0,101; 71; 27; 125; 104; 31; 118
42,0,102; 21; 93; 44; 107; 82
43,0,2; 72; 51; 32; 17
44,0,107; 11; 95; 42; 93; 60
45,1,120; 116
46,0,130; 114; 27; 125
47,1,118; 117
48,0,21; 52
49,0,30; 82; 102; 12
50,0,79; 81; 133; 65
51,0,43; 32; 98; 26; 59; 57; 72
52,0,126; 48; 21; 115; 132
53,0,110; 92; 75; 91; 72; 2
54,1,15; 35; 122; 116; 36
55,0,80; 23; 19; 95
56,1,133; 96; 85; 86
57,0,72; 51; 59; 84; 67; 20; 117
58,1,110
59,1,106; 26; 22; 84; 57; 51
60,0,78; 95; 44; 93
61,0,10; 9
62,1,26; 100
63,0,121; 120; 116
64,1,133; 22; 85; 84; 129
65,0,37; 20; 67; 50; 81
66,0,118; 20; 37; 128
67,0,84; 57; 20; 65
68,0,81; 105; 88
69,0,131; 113
70,1,109
71,1,27; 41; 38; 101
72,0,91; 2; 43; 51; 57; 117
73,0,80; 23; 99; 90; 15
74,1,11; 19; 6
75,0,53; 92; 104; 31; 91
76,1,101; 38; 77
77,1,101; 38; 76
78,1,60
79,0,81; 50
80,0,55; 23; 73; 15
81,0,37; 65; 79; 50; 68
82,1,49; 102; 42; 103; 44; 107; 30
83,0,9; 2; 109; 6; 7; 17
84,0,67; 57; 59; 22; 64
85,1,64; 133; 56
86,1,124; 25; 97
87,1,1; 124
88,0,128; 105; 68
89,0,131; 111; 16
90,0,99; 73; 15; 35; 5
91,0,53; 75; 31; 117; 72; 2
92,0,114; 125; 104; 75; 53; 110
93,0,60; 44; 42; 21
94,1,100; 35; 26; 28
95,0,33; 55; 19; 11; 44; 60
96,0,133; 56
97,1,25; 124
98,0,32; 5; 26; 51
99,1,7; 17; 32; 5; 90; 73; 23
100,0,122; 121; 35; 22; 94; 28; 62; 26
101,1,71; 38; 76; 41; 118; 77
102,0,103; 82; 132; 49; 12; 21; 42
103,1,82; 102
104,0,92; 125; 41; 31; 75
105,0,37; 88; 128; 68
106,1,59; 26
107,0,112; 108; 82; 30; 13; 11; 44; 42
108,1,112; 107
109,0,70; 18; 13; 4; 10; 9; 83; 6; 11
110,0,114; 92; 53; 2; 9; 58
111,0,126; 115; 123; 16; 34; 131; 113
112,0,107; 108
113,0,69; 131; 111; 126
114,0,46; 125; 92; 110
115,0,123; 12; 132; 52; 126; 111
116,0,45; 63; 120; 54; 122; 121
117,0,31; 118; 47; 20; 57; 72
118,1,41; 101; 31; 117; 47; 66; 20
119,1,9
120,1,63; 25; 45; 116
121,1,22; 122; 116; 63; 100
122,1,116; 121; 54; 35; 100
123,0,12; 115; 111; 16
124,1,86; 25; 87
125,0,27; 46; 114; 92; 104; 41
126,0,14; 113; 111; 115; 52
127,0,9
128,0,66; 37; 105; 88
129,1,64; 133
130,1,46
131,0,69; 113; 111; 34; 89
132,0,21; 52; 115; 123; 12; 102
133,0,50; 64; 85; 56; 96; 129
